#dt670
#temp(K), volts
1.4,1.6443
1.49,1.64313
1.61,1.64143
1.73,1.63956
1.86,1.63734
2,1.63474
2.16,1.63153
2.34,1.62766
2.55,1.62286
2.87,1.6152
3.15,1.60827
3.38,1.60229
3.62,1.59573
3.87,1.58856
4.14,1.58042
4.48,1.56944
4.94,1.55363
5.66,1.52789
6.85,1.48407
7.45,1.46256
7.95,1.44537
8.4,1.4306
8.85,1.41654
9.3,1.40319
9.75,1.39047
10.25,1.37706
10.75,1.3643
11.25,1.35215
11.75,1.34055
12.25,1.32948
12.75,1.31889
13.3,1.30778
13.85,1.29717
14.4,1.28703
14.95,1.27729
15.55,1.26707
16.2,1.25639
16.95,1.24448
17.85,1.23056
18.95,1.2139
19.75,1.20162
20.1,1.19624
20.9,1.1833
21.5,1.1728
22,1.16288
23,1.14075
23.3,1.13506
23.5,1.13187
23.7,1.12916
23.9,1.12689
24.1,1.12502
24.3,1.12342
24.6,1.12149
24.9,1.1199
25.3,1.11814
25.7,1.11665
26.1,1.11533
26.6,1.11387
27.2,1.11229
27.9,1.11064
28.8,1.10867
29.8,1.10663
31,1.10431
32.4,1.10175
33.9,1.0991
35.6,1.0962
37.6,1.09289
40.2,1.0887
44,1.08268
49.4,1.07407
54.6,1.06568
59.4,1.05786
64.5,1.04942
69,1.04188
73.5,1.03423
78,1.02648
82.5,1.01861
87,1.01063
91.5,1.00255
96,0.994351
101,0.985134
107.5,0.97296
114.5,0.959636
122,0.945125
129.5,0.930396
137.5,0.91446
146,0.897291
155,0.87887
164.5,0.859181
174.5,0.838212
185,0.815947
196,0.792371
207.5,0.767474
220,0.740137
233,0.711427
246.5,0.681331
260.5,0.649841
275,0.616952
290.5,0.581512
307,0.543502
328.5,0.493643
366,0.405937
399,0.32825
427.5,0.260602
463,0.175623
474.5,0.14839
475.5,0.145904
489.5,0.113581
500,9.05E-02
