# Kel, volts
0.8,1.797446
0.825,1.79738
0.85,1.797305
0.875,1.797222
0.9,1.797132
0.925,1.797033
0.95,1.796927
0.975,1.796812
1,1.79669
1.05,1.796422
1.08,1.796245
1.1,1.796122
1.15,1.79579
1.2,1.795426
1.25,1.795031
1.3,1.794604
1.35,1.794146
1.4,1.793656
1.45,1.793134
1.5,1.79258
1.55,1.791995
1.6,1.791378
1.65,1.790729
1.7,1.790048
1.75,1.789336
1.8,1.788592
1.85,1.787817
1.9,1.78701
1.95,1.786171
2,1.7853
2.1,1.783207
2.2,1.781006
2.3,1.778661
2.4,1.776178
2.5,1.773559
2.6,1.770809
2.7,1.767931
2.8,1.764929
2.9,1.761807
3,1.758569
3.1,1.755219
3.2,1.75176
3.3,1.748196
3.4,1.744531
3.5,1.740769
3.6,1.736914
3.7,1.73297
3.8,1.72894
3.9,1.724828
4,1.720638
4.1,1.716375
4.2,1.712041
4.3,1.70764
4.4,1.703177
4.5,1.698656
4.6,1.694079
4.7,1.689451
4.8,1.684776
4.9,1.680058
5,1.6753
5.25,1.663257
5.5,1.65105
5.75,1.63874
6,1.626386
6.25,1.614047
6.5,1.601785
6.75,1.589658
7,1.577727
7.25,1.56763
7.5,1.55334
8,1.52557
8.5,1.49951
9,1.47461
9.5,1.45131
10,1.43073
11,1.39581
12,1.36418
13,1.33748
14,1.31328
15,1.28978
16,1.26708
17,1.24583
18,1.22463
19,1.20503
20,1.18663
21,1.16953
22,1.15357
24,1.13285
26,1.12006
28,1.111
30,1.10676
32,1.10417
34,1.10095
36,1.0979
38,1.09498
40,1.09197
42,1.08982
44,1.08667
46,1.08374
48,1.08078
50,1.07779
52,1.07471
54,1.07156
56,1.06844
58,1.06518
60,1.06189
65,1.05345
70,1.04484
75,1.03607
77,1.03261
80,1.02743
85,1.01875
90,1.00992
95,1.00108
100,0.99214
110,0.97397
120,0.9553
130,0.93626
140,0.91684
150,0.89698
160,0.87665
170,0.85611
180,0.8353
190,0.81426
200,0.79299
210,0.77149
220,0.74988
230,0.72795
240,0.70644
250,0.68512
260,0.66338
270,0.64142
280,0.61935
290,0.59725
300,0.57447
310,0.551
320,0.52621
