#Temp.,Resistance
#(Kelvin),(Ohms)

UNITS = Kelvin
0.3000000,23355.0900000
0.3200000,19194.9300000
0.3400000,16137.8200000
0.3600000,13793.7000000
0.3800000,11955.1200000
0.4000000,10487.5100000
0.4200000,9299.7620000
0.4400000,8325.7220000
0.4600000,7517.6120000
0.4800000,6839.4250000
0.5000000,6264.0390000
0.5500000,5154.1330000
0.6000000,4362.6560000
0.6500000,3774.5520000
0.7000000,3323.0780000
0.7500000,2967.1280000
0.8000000,2680.2670000
0.8500000,2444.8490000
0.9000000,2248.5340000
0.9500000,2082.6360000
1.0000000,1940.7610000
1.0500000,1818.2190000
1.1000000,1711.3700000
1.1500000,1617.4810000
1.2000000,1534.3630000
1.3000000,1393.9360000
1.4000000,1279.9870000
1.5000000,1185.7430000
1.6000000,1106.6100000
1.7000000,1039.1930000
1.8000000,981.1017000
1.9000000,930.5132000
2.0000000,886.0708000
2.1000000,846.6979000
2.2000000,811.5708000
2.3000000,780.0207000
2.4000000,751.5288000
2.5000000,725.6587000
2.6000000,702.0366000
2.7000000,680.3658000
2.8000000,660.4829000
2.9000000,642.2160000
3.0000000,625.2487000
3.1000000,609.3217000
3.2000000,594.4191000
3.3000000,580.5448000
3.4000000,567.5921000
3.5000000,555.4468000
3.6000000,544.0341000
3.7000000,533.2909000
3.8000000,523.1554000
3.9000000,513.5713000
4.0000000,504.4918000
4.2000000,487.6824000
4.4000000,472.4415000
4.6000000,458.5477000
4.8000000,445.8146000
5.0000000,434.0948000
5.2000000,423.2639000
5.4000000,413.2202000
5.6000000,403.8755000
5.8000000,395.1539000
6.0000000,386.9941000
6.5000000,368.7006000
7.0000000,352.8905000
7.5000000,339.0575000
8.0000000,326.8324000
8.5000000,315.9238000
9.0000000,306.1130000
9.5000000,297.2248000
10.0000000,289.1223000
10.5000000,281.6928000
11.0000000,274.8461000
11.5000000,268.5069000
12.0000000,262.6134000
12.5000000,257.1132000
13.0000000,251.9626000
13.5000000,247.1240000
14.0000000,242.5655000
14.5000000,238.2593000
15.0000000,234.1817000
15.5000000,230.3116000
16.0000000,226.6310000
16.5000000,223.1237000
17.0000000,219.7754000
17.5000000,216.5735000
18.0000000,213.5069000
18.5000000,210.5659000
19.0000000,207.7406000
19.5000000,205.0217000
20.0000000,202.4033000
21.0000000,197.4473000
22.0000000,192.8239000
23.0000000,188.4933000
24.0000000,184.4235000
25.0000000,180.5873000
26.0000000,176.9615000
27.0000000,173.5265000
28.0000000,170.2652000
29.0000000,167.1628000
30.0000000,164.2064000
31.0000000,161.3846000
32.0000000,158.6871000
33.0000000,156.1051000
34.0000000,153.6304000
35.0000000,151.2557000
36.0000000,148.9747000
37.0000000,146.7812000
38.0000000,144.6698000
39.0000000,142.6356000
40.0000000,140.6740000
42.0000000,136.9526000
44.0000000,133.4759000
46.0000000,130.2187000
48.0000000,127.1593000
50.0000000,124.2788000
52.0000000,121.5605000
54.0000000,118.9902000
56.0000000,116.5551000
58.0000000,114.2436000
60.0000000,112.0460000
65.0000000,106.9929000
70.0000000,102.4801000
75.0000000,98.4175800
77.3500000,96.6429400
80.0000000,94.7343900
85.0000000,91.3742800
90.0000000,88.2917600
95.0000000,85.4514500
100.0000000,82.8194400
105.0000000,80.3716000
110.0000000,78.0879600
115.0000000,75.9505900
120.0000000,73.9448700
125.0000000,72.0580300
130.0000000,70.2791900
135.0000000,68.5986600
140.0000000,67.0081500
145.0000000,65.5002100
150.0000000,64.0683800
155.0000000,62.7068100
160.0000000,61.4103700
165.0000000,60.1743800
170.0000000,58.9947000
175.0000000,57.8675400
180.0000000,56.7895100
185.0000000,55.7574800
190.0000000,54.7686400
195.0000000,53.8203900
200.0000000,52.9103600
205.0000000,52.0363700
210.0000000,51.1964000
215.0000000,50.3886000
220.0000000,49.6112400
225.0000000,48.8627200
230.0000000,48.1415500
235.0000000,47.4463500
240.0000000,46.7758200
245.0000000,46.1287500
250.0000000,45.5040000
255.0000000,44.9005100
260.0000000,44.3172900
265.0000000,43.7533900
270.0000000,43.2079200
273.1500000,42.8733700
275.0000000,42.6800600
280.0000000,42.1690100
285.0000000,41.6740300
290.0000000,41.1944300
295.0000000,40.7295200
300.0000000,40.2786900
305.0000000,39.8413400
310.0000000,39.4169000
315.0000000,39.0048300
320.0000000,38.6046400
325.0000000,38.2158200
