# kel, ohms, sens. ohms/kel, sens unitless
0.3,2.18E+04,-2.23E+05,-3.08E+00
0.32,1.79E+04,-1.62E+05,-2.88E+00
0.34,1.51E+04,-1.23E+05,-2.76E+00
0.36,1.30E+04,-9.54E+04,-2.65E+00
0.38,1.13E+04,-7.57E+04,-2.56E+00
0.4,9.90E+03,-6.10E+04,-2.47E+00
0.42,8.80E+03,-4.99E+04,-2.38E+00
0.44,7.89E+03,-4.12E+04,-2.30E+00
0.46,7.14E+03,-3.45E+04,-2.22E+00
0.48,6.50E+03,-2.92E+04,-2.15E+00
0.5,5.96E+03,-2.49E+04,-2.09E+00
0.55,4.92E+03,-1.74E+04,-1.95E+00
0.6,4.17E+03,-1.28E+04,-1.83E+00
0.65,3.62E+03,-9.68E+03,-1.74E+00
0.7,3.19E+03,-7.55E+03,-1.66E+00
0.75,2.85E+03,-6.04E+03,-1.59E+00
0.8,2.58E+03,-4.92E+03,-1.53E+00
0.85,2.36E+03,-4.08E+03,-1.47E+00
0.9,2.17E+03,-3.43E+03,-1.42E+00
0.95,2.01E+03,-2.92E+03,-1.38E+00
1,1.87E+03,-2.51E+03,-1.34E+00
1.05,1.76E+03,-2.18E+03,-1.30E+00
1.1,1.66E+03,-1.91E+03,-1.27E+00
1.15,1.57E+03,-1.69E+03,-1.24E+00
1.2,1.49E+03,-1.50E+03,-1.21E+00
1.3,1.35E+03,-1.21E+03,-1.16E+00
1.4,1.24E+03,-9.91E+02,-1.12E+00
1.5,1.15E+03,-8.27E+02,-1.08E+00
1.6,1.07E+03,-7.01E+02,-1.04E+00
1.7,1.01E+03,-6.01E+02,-1.01E+00
1.8,9.54E+02,-5.21E+02,-9.84E-01
1.9,9.05E+02,-4.56E+02,-9.58E-01
2,8.62E+02,-4.03E+02,-9.35E-01
2.1,8.24E+02,-3.59E+02,-9.13E-01
2.2,7.90E+02,-3.21E+02,-8.94E-01
2.3,7.60E+02,-2.89E+02,-8.76E-01
2.4,7.32E+02,-2.62E+02,-8.59E-01
2.5,7.07E+02,-2.39E+02,-8.44E-01
